full_name,url,stars,forks,open_issues,contributors,commits,releases,has_ci,readme_length,n_topics,has_license,language,age_days,days_since_push,commits_per_contributor,has_readme,age_years,activity
vllm-project/vllm-omni,https://github.com/vllm-project/vllm-omni,4836,1016,859,224,1786,14,1,6586,9,1,Python,260,0,8.0,1,0.7,active
siddsachar/Thoth,https://github.com/siddsachar/Thoth,1194,140,28,4,262,25,1,22468,8,1,Python,83,0,65.5,1,0.2,active
IAHispano/Applio,https://github.com/IAHispano/Applio,3313,531,28,144,3905,10,1,5057,14,1,Python,1025,0,27.1,1,2.8,active
huggingface/huggingface_hub,https://github.com/huggingface/huggingface_hub,3639,1042,194,324,2465,174,1,7287,8,1,Python,1984,0,7.6,1,5.4,active
NopeCHALLC/nopecha-scripts,https://github.com/NopeCHALLC/nopecha-scripts,1387,8,0,3,4,0,0,1204,12,1,Python,1163,0,1.3,1,3.2,active
pantsbuild/pants,https://github.com/pantsbuild/pants,3776,703,1091,368,15258,668,1,1057,20,1,Python,4911,0,41.5,1,13.5,active
vllm-project/guidellm,https://github.com/vllm-project/guidellm,1186,160,89,48,1085,12,1,21209,0,1,Python,729,0,22.6,1,2.0,active
Zitann/HarmonyOS-Haps,https://github.com/Zitann/HarmonyOS-Haps,2442,86,4,7,427,0,1,12279,2,0,Python,560,0,61.0,1,1.5,active
NVIDIA/Model-Optimizer,https://github.com/NVIDIA/Model-Optimizer,2786,413,227,73,833,36,1,16354,0,1,Python,765,0,11.4,1,2.1,active
Blaizzy/mlx-vlm,https://github.com/Blaizzy/mlx-vlm,4787,547,145,103,650,63,1,44651,13,1,Python,773,0,6.3,1,2.1,active
basicmachines-co/basic-memory,https://github.com/basicmachines-co/basic-memory,3110,206,74,20,1352,83,1,19262,15,1,Python,542,0,67.6,1,1.5,active
Nerogar/OneTrainer,https://github.com/Nerogar/OneTrainer,3009,297,135,56,1514,0,0,8556,4,1,Python,1143,0,27.0,1,3.1,active
ROCm/TheRock,https://github.com/ROCm/TheRock,1047,245,918,185,2669,4,1,22752,0,1,Python,819,0,14.4,1,2.2,active
testcontainers/testcontainers-python,https://github.com/testcontainers/testcontainers-python,2223,373,172,171,1050,49,1,3738,6,1,Python,3355,0,6.1,1,9.2,active
PyCQA/flake8-bugbear,https://github.com/PyCQA/flake8-bugbear,1116,116,64,87,446,55,1,34379,4,1,Python,3726,0,5.1,1,10.2,active
NopeCHALLC/nopecha-python,https://github.com/NopeCHALLC/nopecha-python,1646,13,2,4,23,0,0,5277,13,1,Python,1163,0,5.8,1,3.2,active
bytedance/Lance,https://github.com/bytedance/Lance,1037,72,12,5,93,0,0,35129,6,1,Python,14,0,18.6,1,0.0,active
GAM-team/GAM,https://github.com/GAM-team/GAM,4186,525,39,36,5710,419,1,1573,13,1,Python,4386,0,158.6,1,12.0,active
langflow-ai/openrag,https://github.com/langflow-ai/openrag,4092,405,245,40,3821,57,1,6176,0,1,Python,322,0,95.5,1,0.9,active
intuitem/ciso-assistant-community,https://github.com/intuitem/ciso-assistant-community,4087,728,112,101,7378,266,1,37703,20,1,Python,982,0,73.0,1,2.7,active
openai/plugins,https://github.com/openai/plugins,1289,192,32,45,224,0,0,1074,0,0,Python,85,0,5.0,1,0.2,active
AvenCores/goida-vpn-configs,https://github.com/AvenCores/goida-vpn-configs,2394,122,0,4,265910,0,1,36475,20,1,Python,539,0,66477.5,1,1.5,active
pytorch/rl,https://github.com/pytorch/rl,3449,456,292,202,2526,31,1,44066,13,1,Python,1578,0,12.5,1,4.3,active
Josh-XT/AGiXT,https://github.com/Josh-XT/AGiXT,3192,445,0,41,5848,433,1,3817,14,1,Python,1137,0,142.6,1,3.1,active
kapicorp/kapitan,https://github.com/kapicorp/kapitan,1913,210,119,75,2214,128,1,6579,20,1,Python,3154,0,29.5,1,8.6,active
Nixtla/neuralforecast,https://github.com/Nixtla/neuralforecast,4135,491,38,53,1358,36,1,12826,20,1,Python,1859,0,25.6,1,5.1,active
1bananachicken/MaaNTE,https://github.com/1bananachicken/MaaNTE,1647,141,30,17,336,11,1,5084,5,1,Python,33,0,19.8,1,0.1,active
SilentDemonSD/WZML-X,https://github.com/SilentDemonSD/WZML-X,1441,2167,23,17,374,4,1,8812,20,1,Python,1351,0,22.0,1,3.7,active
saturday06/VRM-Addon-for-Blender,https://github.com/saturday06/VRM-Addon-for-Blender,1645,159,98,20,6389,298,1,16439,2,1,Python,2699,0,319.4,1,7.4,active
